time,price,size,brs,title,link
2016-08-02 20:23:00,3675.0,,6.0,1742 W. Addison- Av. 9/1 | 6 BR W/ 3 Bath | NO DEPOSIT| Duplex,/chc/apa/5713758033.html
2016-08-02 20:23:00,2550.0,,2.0,Lovely & Updated 2 Bed in Amazing Location! Parking Included!,/chc/apa/5713757984.html
2016-08-02 20:23:00,3050.0,1107.0,2.0,New River North Apt Offering 1mo FREE,/chc/apa/5703518167.html
2016-08-02 20:22:00,2985.0,1150.0,2.0,FULTON RIVER 2 BED/2 BA*W/D*BALCONY*POOL*GYM,/chc/apa/5670610976.html
2016-08-02 20:22:00,2700.0,2200.0,3.0,3 BED 2 BATH DUPLEX IN LAKEVIEW AVAIL AUG 1ST NEAR BROWN & RED LINES,/chc/apa/5680548556.html
2016-08-02 20:22:00,3832.0,,2.0,Brand New Loop 2 Bed/2 Bath*Opened June 1*Hardwood Floors*W/D in unit,/chc/apa/5669752601.html
2016-08-02 20:22:00,3050.0,980.0,2.0,Be the 1st to Live in River North Luxury High-Rise,/chc/apa/5703437408.html
2016-08-02 20:20:00,1100.0,,2.0,"""2 Bed/5 Room/Second Floor/House""",/chc/apa/5702958373.html
2016-08-02 20:20:00,2300.0,2400.0,3.0,Huge Old Irving 3 bed 3 bath with parking!,/chc/apa/5713727140.html
2016-08-02 20:19:00,2475.0,,3.0,Wrigleyville -Av. Now| 3 BR W/ 2 Bath| No Deposit| Near Transportation,/chc/apa/5713738410.html
2016-08-02 20:19:00,2200.0,,3.0,"GREAT DEAL for this nice, spacious 3br by the el - W/D IN UNIT - yard",/chc/apa/5713739008.html
2016-08-02 20:18:00,2800.0,1123.0,2.0,South Loop 2 Bed/2 Bath*W/d In Unit & Balcony!,/chc/apa/5668871812.html
2016-08-02 20:17:00,2492.0,,2.0,"Hot South Loop Loft w/ SS, Concrete Flooring, WD",/chc/apa/5693590970.html
2016-08-02 20:17:00,1600.0,,2.0,"LOGAN SQUARE: 1BD, 1BA GRANITE SS LAUNDRY IN UNIT",/chc/apa/5713665576.html
2016-08-02 20:17:00,3950.0,,3.0,"3 Bd on , 3.5 Bath, Parking For Rent",/chc/apa/5713716433.html
2016-08-02 20:17:00,2796.0,,2.0,#BRAND NEW - 2 MONTHS FREE ON THIS PERFECT 2 BED - GOING FAST#,/chc/apa/5709102329.html
2016-08-02 20:17:00,1350.0,800.0,2.0,Tons of Comfort With Plenty of Charm,/chc/apa/5713725521.html
2016-08-02 20:17:00,3675.0,,6.0,1742 W. Addison- Av. Now | 6 BR W/ 3 Bath | NO DEPOSIT| Duplex,/chc/apa/5713750338.html
2016-08-02 20:16:00,3001.0,,2.0,South Loop Living With all of the Upgrades!!,/chc/apa/5713707048.html
2016-08-02 20:16:00,3414.0,1320.0,2.0,"Over 1300sqft - Hardwood, Balcony, Beautiful Lake View, Corner Unit",/chc/apa/5713736963.html
2016-08-02 20:16:00,3100.0,,2.0,LUXURY WEST LOOP CORNER 2 BED*BALCONY*W/D*ROOFTOP POOL,/chc/apa/5678655452.html
2016-08-02 20:16:00,2300.0,1200.0,3.0,GREAT 3BED/2BA CONDO IN PRIME WEST TOWN AREA~PARKING INCLD!,/chc/apa/5713749384.html
2016-08-02 20:15:00,2775.0,1040.0,2.0,Gold Coast 2 BD/2 BA*Balcony*Views*Location,/chc/apa/5671539043.html
2016-08-02 20:15:00,2800.0,,2.0,"REMARKABLE 2 BED / 2 BATH - CTA, METRA, & MORE",/chc/apa/5709115039.html
2016-08-02 20:15:00,2617.0,,2.0,Unreal West Loop Apt w/ Lux Finishes,/chc/apa/5703651937.html
2016-08-02 20:15:00,3575.0,,4.0,1936 N. Sheffield- Av. 9/1| 4 BR W/ 2 Bath | Duplex| NO DEPOSIT,/chc/apa/5713747986.html
2016-08-02 20:15:00,4416.0,,2.0,Contemporary Loop Apt on River w/ 99 Walkscore,/chc/apa/5703661795.html
2016-08-02 20:15:00,2250.0,,3.0,- Beautiful Upgraded 3Bed/2Bath -,/chc/apa/5713747877.html
2016-08-02 20:14:00,1750.0,,2.0,In-UNIT W/D!! Central Air!! Must see Great Price!!,/chc/apa/5713739722.html
2016-08-02 20:14:00,3500.0,,3.0,STUNNING 3br/2bath condo by the el - garage included - Wrigleyville,/chc/apa/5667664544.html
2016-08-02 20:14:00,2200.0,,3.0,GREAT DEAL for this nice 3br by the el - W/D IN UNIT - yard - Lakeview,/chc/apa/5667664056.html
2016-08-02 20:14:00,2200.0,,3.0,GREAT DEAL for this nice 3br by the el - W/D IN UNIT - yard - Lakeview,/chc/apa/5681899065.html
2016-08-02 20:14:00,1825.0,,2.0,"Gorgeous wood floors in Lincoln Park. Lots of light, close to Lake! Pe",/chc/apa/5710358085.html
2016-08-02 20:14:00,2475.0,,3.0,Wrigleyville -Av. Now| 3 BR W/ 2 Bath| No Deposit| Near Transportation,/chc/apa/5713735057.html
2016-08-02 20:14:00,2695.0,,3.0,"AMAZING, SPACIOUS 3br/2bath - W/D IN UNIT - parking - Noble Square",/chc/apa/5681891055.html
